year,country,poco,eu,emu,gov_right1,gov_cent1,gov_left1,gov_party,gov_new,gov_gap,gov_chan,gov_right2,gov_cent2,gov_left2,gov_right3,gov_cent3,gov_left3,gov_sup,gov_type,elect,vturn,womenpar,rae_ele,rae_leg,effpar_ele,effpar_leg,leff,lint,instcons,structur,fed,pres,prop,bic,referen,dir,judrev,kaopen,openc,outlays,receipts,realgdpgr,nomgdpgr,inflation,debt,debt_hist,deficit,pbal,capb,interest,curac,ttl_labf,civ_labf,emp_civ,labfopar,empratio,emp_ag,emp_ind,emp_serv,emp_un,unemp,nld,wi,wdlost,strike,grossu,netu,ud,grossu_ipol,netu_ipol,ud_ipol,sstran,socexp_t_pmp,oldage_pmp,incapben_pmp,health_pmp,family_pmp,almp_pmp,unemp_pmp,housing_pmp,othsocx_pmp,educexp_gov,educexp_gov_ipol,educexp_public,educexp_public_ipol,educexp_private,educexp_private_ipol,educatt_minimal,educatt_minimal_ipol,educatt_tertiary,educatt_tertiary_ipol,fallow_pmp,mpleave_pmp,childcare_pmp,homehelp_pmp,servadmi_pmp,training_pmp,jobrot_pmp,incent_pmp,disabled_pmp,jobcrea_pmp,startup_pmp,compen_pmp,earretir_pmp,emprot_reg,emprot_temp,prefisc_gini,pretran_gini,postfisc_gini,pop,pop15_64,pop65,elderly,elect_filtered,elect_new_year,elect_cntn_year
1960,Australia,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,63.1,0.0,0.0,63.1,2.0,,95.5,0.0,0.663699,0.613878,2.9735266918623497,2.5898550199159853,2.22,2.12,3.0,4.0,1.0,0.0,1.0,4.0,0.0,,1.0,,27.41381454467773,,21.57536042,,,3.72881355932204,,40.14869,0.458213586,1.637458869,,,-3.72983288035622,4190.0,4252.900000000001,4206.6,,,452.0,1597.0,2055.0,46.2,1.1,1145.0,603.3,725.11,173.05727923627686,1683.0,1683.0,53.79999923706055,1683.0,1683.0,53.7999992370605,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10329.8,6355.9,889.8000000000003,8.613913144494571,,,
1961,Australia,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,62.8,0.0,0.0,62.8,2.0,1961-12-09,95.3,0.0,0.6446620000000001,0.602454,2.8142219520569154,2.515432176402228,,,3.0,4.0,1.0,0.0,1.0,4.0,0.0,,1.0,,26.58449172973633,,21.15828092,0.0365579919425516,0.91366449,2.28758169934641,,38.61921,-0.357624615,1.524425768,,,-0.177640249842417,4248.2,4311.400000000001,4218.900000000001,,,450.0,1551.0,2115.0,92.5,2.1,815.0,300.4,606.81,142.8393201826656,1667.0,1667.0,53.20000076293945,1667.0,1667.0,53.20000076293945,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10534.4,6489.200000000002,909.8,8.636467193195628,1961-12-09,,1961.0
1962,Australia,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,50.8,0.0,0.0,50.8,2.0,,95.3,0.0,0.6446620000000001,0.602454,2.8142219520569154,2.515432176402228,,,3.0,4.0,1.0,0.0,1.0,4.0,0.0,,1.0,,26.84103012084961,23.17251803,21.65426194,5.46488426315058,6.16583577,-0.319488817891374,,38.74667,-0.793822456,0.565037642,,,-0.895989636746371,4344.7,4410.7,4321.400000000001,,,449.0,1604.0,2163.0,89.30000000000001,2.0,1183.0,353.9,508.76,117.09899417681314,1716.0,1716.0,51.400001525878906,1716.0,1716.0,51.40000152587891,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10733.3,6633.4,929.1,8.656238062851127,,,
1963,Australia,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,51.14,0.0,0.0,51.14,2.0,1963-11-30,95.7,0.0,0.641937,0.623528,2.7928046181817163,2.656240039099853,,,3.0,4.0,1.0,0.0,1.0,4.0,0.0,,1.0,,28.71050834655762,23.01287472,21.70614555,6.14292842490441,9.1596049,0.641025641025642,,37.34465,-0.506212261,0.829675222,,,-0.138449367088608,4450.7,4520.1,4446.5,,,449.0,1648.0,2241.0,73.60000000000002,1.6,1250.0,412.7,581.57,130.66933291392365,1763.0,1763.0,49.70000076293945,1763.0,1763.0,49.70000076293945,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10936.7,6774.200000000002,948.9000000000002,8.676291751625262,1963-11-30,,1963.0
1964,Australia,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,59.0,0.0,0.0,59.0,2.0,,95.7,0.0,0.641937,0.623528,2.7928046181817163,2.656240039099853,,,3.0,4.0,1.0,0.0,1.0,4.0,0.0,,1.0,,28.48587036132813,22.8797961,22.24528506,6.20135805693389,9.82001582,2.86624203821654,,35.30536,-0.080390213,1.426062733,,,-1.22917604682575,4639.0,4714.1,4654.6,67.2393035888672,65.55786895751953,456.0,1725.0,2314.5,59.5,1.3,1334.0,545.6,911.36,196.45613278723863,1808.0,1808.0,48.20000076293945,1808.0,1808.0,48.20000076293945,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11158.5,6921.9,964.2,8.64094636375857,,,
1965,Australia,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,59.0,0.0,0.0,59.0,2.0,,95.7,0.0,0.641937,0.623528,2.7928046181817163,2.656240039099853,,,3.0,4.0,1.0,0.0,1.0,4.0,0.0,,1.0,,28.06614685058594,24.90242662,23.51176634,5.01911987114068,7.5056281,3.40557275541798,,53.99463,-0.731644434,0.677167042,,,-3.60179251999832,4784.4,4848.900000000001,4791.2,67.65817260742188,65.98023986816406,454.0,1775.0,2399.25,57.7,1.2,1346.0,475.0,815.87,170.52712983864225,1862.0,1862.0,47.900001525878906,1862.0,1862.0,47.90000152587891,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11407.6,7080.700000000002,982.7,8.61443248360742,,,
1966,Australia,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,2.0,100.0,0.0,0.0,59.35,0.0,0.0,59.35,2.0,1966-11-26,95.1,0.8,0.664266,0.6198139999999999,2.978548493748027,2.6302914889027993,,,3.0,4.0,1.0,0.0,1.0,4.0,0.0,,1.0,,26.79074096679688,26.05645069,23.15982405,2.93053587945354,7.00255476,3.29341317365268,,52.51193,-1.813948874,-0.280953545,,,-1.99616423343379,5010.2,5068.8,4994.1,66.3787365,65.2996897308944,430.0,1793.0,2562.15,74.7,1.5,1273.0,394.9,732.08,146.11791944433355,1869.0,1869.0,45.79999923706055,1869.0,1869.0,45.79999923706055,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11688.8,7261.3,1003.0,8.580863732804051,1966-11-26,,1966.0
1967,Australia,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,66.1,0.0,0.0,66.1,2.0,,95.1,0.8,0.664266,0.6198139999999999,2.978548493748027,2.6302914889027993,,,3.0,4.0,1.0,0.0,1.0,4.0,0.0,,1.0,,26.78427314758301,26.35199456,23.31889794,7.1914029619855,10.6892638,3.47826086956522,,49.96281,-1.806760536,-0.446731676,,,-2.5,5136.8,5189.200000000001,5107.0,66.5379227,65.3683479767537,429.0,1828.0,2671.0,82.2,1.6,1340.0,483.3,705.32,137.3072730104345,1893.0,1893.0,45.0,1893.0,1893.0,45.0,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11995.9,7413.5,1016.6,8.474562142065206,,,
1968,Australia,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,66.1,0.0,0.0,66.1,2.0,,95.1,0.8,0.664266,0.6198139999999999,2.978548493748027,2.6302914889027993,,,3.0,4.0,1.0,0.0,1.0,4.0,0.0,,1.0,,25.29138565063477,26.51605979,24.0264943,5.33764872859442,9.09830269,2.52100840336135,,48.68825,-1.348576473,-0.037436739,,,-3.52315820179562,5259.2,5310.900000000001,5234.3,66.6839435,65.6194350747119,440.0,1867.0,2739.225,76.60000000000002,1.4,1713.0,720.3,1079.46,205.25174931548526,1939.0,1939.0,44.79999923706055,1939.0,1939.0,44.79999923706055,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12312.8,7579.0,1031.2,8.375024364888572,,,
1969,Australia,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,64.24,0.0,0.0,64.24,2.0,1969-10-25,95.0,0.0,0.647,0.6161920000000001,2.8328611898017,2.6054694013673507,,,3.0,4.0,1.0,0.0,1.0,4.0,0.0,,1.0,,26.19701385498047,25.05290228,24.29528072,6.21359223300965,12.3780508,3.27868852459017,,45.50184,-0.145596765,1.305171289,,5.83833333333333,-1.91797415782188,5387.5,5440.400000000001,5365.8,66.6428819,65.6387042770977,415.0,1907.0,2865.6,74.7,1.4,2014.0,1285.2,1958.0,363.4338747099768,1980.0,1980.0,44.400001525878906,1980.0,1980.0,44.40000152587891,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12617.2,7762.200000000002,1044.1,8.275211615889418,1969-10-25,,1969.0
