country,comb_unemp_count,comb_unemp_perc,comb_inflation_count,comb_inflation_perc,comb_deficit_count,comb_deficit_perc,comb_nld_count,comb_nld_perc,comb_realgdpgr_count,comb_realgdpgr_perc,comb_sstran_count,comb_sstran_perc,comb_outlays_count,comb_outlays_perc,comb_educexp_gov_ipol_count,comb_educexp_gov_ipol_perc,comb_childcare_pmp_count,comb_childcare_pmp_perc,comb_postfisc_gini_count,comb_postfisc_gini_perc
Australia,4.0,36.0,4.0,55.0,3.0,70.0,3.0,12.0,5.0,50.0,3.0,30.0,3.0,29.0,5.0,62.0,6.0,31.0,0.0,0.0
Austria,5.0,39.0,3.0,12.0,3.0,62.0,2.0,41.0,3.0,20.0,2.0,40.0,3.0,80.0,5.0,33.0,4.0,78.0,3.0,33.0
Belgium,5.0,61.0,4.0,33.0,3.0,35.0,0.0,50.0,3.0,75.0,3.0,50.0,3.0,35.0,2.0,58.0,5.0,43.0,1.0,50.0
Bulgaria,2.0,83.0,1.0,25.0,2.0,41.0,0.0,0.0,1.0,75.0,2.0,25.0,2.0,33.0,2.0,83.0,0.0,0.0,0.0,0.0
Croatia,1.0,75.0,1.0,0.0,2.0,66.0,0.0,0.0,1.0,16.0,3.0,50.0,2.0,66.0,1.0,25.0,0.0,0.0,0.0,0.0
Cyprus,1.0,100.0,2.0,75.0,1.0,25.0,2.0,100.0,2.0,75.0,1.0,33.0,1.0,50.0,3.0,75.0,0.0,0.0,0.0,0.0
Czech Republic,2.0,66.0,1.0,25.0,1.0,0.0,1.0,50.0,2.0,25.0,2.0,33.0,2.0,0.0,1.0,50.0,3.0,8.0,0.0,0.0
Denmark,5.0,68.0,4.0,57.0,4.0,25.0,3.0,25.0,4.0,20.0,6.0,29.0,5.0,27.0,3.0,58.0,6.0,41.0,0.0,0.0
Estonia,2.0,16.0,1.0,25.0,2.0,33.0,1.0,25.0,1.0,100.0,1.0,25.0,1.0,33.0,1.0,75.0,2.0,58.0,0.0,0.0
Finland,4.0,46.0,4.0,56.0,4.0,37.0,3.0,41.0,4.0,63.0,4.0,32.0,3.0,50.0,5.0,47.0,5.0,50.0,0.0,0.0
France,4.0,62.0,2.0,75.0,4.0,66.0,2.0,20.0,4.0,80.0,2.0,16.0,2.0,12.0,3.0,55.0,4.0,38.0,1.0,50.0
Germany,6.0,58.0,5.0,33.0,3.0,30.0,1.0,100.0,4.0,36.0,6.0,50.0,3.0,70.0,2.0,37.0,5.0,61.0,2.0,33.0
Greece,3.0,60.0,3.0,30.0,2.0,0.0,2.0,25.0,3.0,75.0,3.0,45.0,5.0,12.0,2.0,33.0,4.0,42.0,0.0,0.0
Hungary,2.0,66.0,2.0,66.0,3.0,62.0,2.0,0.0,1.0,75.0,1.0,75.0,3.0,62.0,4.0,63.0,2.0,58.0,0.0,0.0
